player_id,year,team,position,age
05acd04d-bff0-58aa-8ac8-843458f740f5,1958,England,Forward,24.0
a6cb677c-c3b8-5013-b20f-7b213b198f0e,2022,United States,Forward,22.0
f450d67c-2ad0-5052-9450-d559568dae61,1966,Bulgaria,Forward,32.0
cb2815a6-1881-5197-9b8f-fbf35d2a3c4c,2006,Togo,Defender,31.0
4ae54ba2-ab91-5924-8b8f-e1fbb43f8769,1998,Cameroon,Defender,20.0
56a50952-58c4-5bc5-a7a8-d63e1020080e,2014,Italy,Defender,28.0
21e66c80-88e4-53eb-9b55-7a23fb429589,1954,Uruguay,Forward,24.0
ad15a474-93b8-5743-8db2-32462232c711,1954,France,Goalkeeper,27.0
ad15a474-93b8-5743-8db2-32462232c711,1958,France,Goalkeeper,31.0
8023c745-a734-57b2-8e99-61e7471f083d,2002,Italy,Goalkeeper,25.0
7aba5e24-1921-5e98-ad4e-8b9ff9727bf5,2006,Argentina,Goalkeeper,34.0
b8f4b7a2-e7d7-5a1a-9bbb-dffd0a2758f4,1994,Saudi Arabia,Defender,32.0
80b4e62e-0ca6-5433-85c9-96e64b8abc3f,1990,Egypt,Forward,23.0
92194dee-ee36-559d-b4ce-2c2a93bc257b,2018,Egypt,Defender,33.0
3f5b7dcb-fe32-5173-8791-2e8762245688,1990,Egypt,Midfielder,33.0
0ed124e9-631a-54e0-ae02-d2b5ce3cf71c,1990,Egypt,Midfielder,31.0
24952f9c-2c90-5054-88d9-4cc2a214afb2,1994,Morocco,Defender,28.0
1b35888f-6295-5682-b587-767bd2fe701b,2022,Tunisia,Defender,29.0
5da12d6d-fd9d-5d51-8689-2d9009a46d16,1978,Iran,Defender,27.0
924fa004-bf0d-5236-9eac-b1728ff791bd,2010,Algeria,Midfielder,24.0
fc78058e-969a-59c6-a3a5-31ee552a26f9,2022,Ghana,Midfielder,22.0
d7fd4f06-59a3-5a05-a544-191a8a3cbb52,2002,Saudi Arabia,Defender,25.0
d7fd4f06-59a3-5a05-a544-191a8a3cbb52,2006,Saudi Arabia,Defender,29.0
452feaa5-63c2-5ab0-9e68-7b2a358eae66,1998,Saudi Arabia,Defender,21.0
7ea15d0a-c0d2-5486-a6fa-a0c87f70eaf4,2022,Saudi Arabia,Defender,23.0
7ad972d0-c041-5f91-8e3c-9dc10e3e6e85,1994,Saudi Arabia,Forward,35.0
450e641e-1222-581f-9314-6120a7157963,2018,Nigeria,Defender,25.0
03f113c1-caae-528a-abde-ad5075dc0e6f,1990,United Arab Emirates,Midfielder,28.0
cc936063-225e-5374-b356-065a76056442,2010,Japan,Midfielder,29.0
a5f1dbaa-e7e0-5166-ae38-634952e3ad3f,1998,Iran,Goalkeeper,32.0
b902f779-5d29-5c14-a6e0-5c3a294294b3,2018,Iran,Goalkeeper,25.0
b902f779-5d29-5c14-a6e0-5c3a294294b3,2022,Iran,Goalkeeper,29.0
bb0a5be4-97b3-5217-9484-3c55263af408,1982,Cameroon,Midfielder,28.0
c8a289ff-5138-53b2-af4a-22d0b6eee8e8,1938,Switzerland,Forward,29.0
c8a289ff-5138-53b2-af4a-22d0b6eee8e8,1934,Switzerland,Forward,25.0
47f0d850-5350-5a5a-be82-3dbf943696e0,1978,Brazil,Defender,26.0
e37ced18-4894-5beb-9c9b-a69bd014cd90,1994,Spain,Defender,24.0
e37ced18-4894-5beb-9c9b-a69bd014cd90,1998,Spain,Defender,28.0
6189b47b-1da0-557e-a7cf-29ff1b65f4d6,1962,Argentina,Midfielder,25.0
f20eda3a-cb93-5ad0-8813-562ab07c3904,1986,Iraq,Forward,31.0
e02454c5-6a2e-57e2-9483-751f6375e560,2010,France,Defender,31.0
e02454c5-6a2e-57e2-9483-751f6375e560,2006,France,Defender,27.0
8f0be337-ac81-50fa-8476-5f5f02b99b82,1990,Spain,Goalkeeper,27.0
8f0be337-ac81-50fa-8476-5f5f02b99b82,1986,Spain,Goalkeeper,23.0
184d19c7-0023-5a65-a5ed-24bb869879c3,1974,Australia,Forward,28.0
692d5444-9f9c-53f3-989c-916d00579df1,2014,Cameroon,Forward,22.0
692d5444-9f9c-53f3-989c-916d00579df1,2022,Cameroon,Forward,30.0
692d5444-9f9c-53f3-989c-916d00579df1,2010,Cameroon,Forward,18.0
478ea319-5e3d-5713-896e-52548e440ffb,2022,Morocco,Midfielder,22.0
cf438969-e2f4-5781-a9ff-bf3a452576ef,1990,Egypt,Midfielder,28.0
a74a8f1c-4b5e-59ea-b9ef-2792fe952fbb,1938,Sweden,Goalkeeper,29.0
e889d245-78d9-5729-97e3-cf7880af3e01,1978,West Germany,Forward,22.0
5da19b86-6733-567e-8f4b-6aaf23f01d48,1998,Morocco,Defender,29.0
5e254d81-a537-5fd2-b723-11722cabb810,2006,Angola,Defender,32.0
45aa1621-5ccc-50a0-ad8f-a2254eb239bf,2010,Uruguay,Forward,34.0
45aa1621-5ccc-50a0-ad8f-a2254eb239bf,2002,Uruguay,Forward,26.0
57206f81-0b24-5804-936a-a4032f01786b,1982,Peru,Goalkeeper,30.0
d200d0dd-02af-55ae-b1b6-01217ba4a4f1,1962,Colombia,Forward,24.0
db8a34f6-5776-5b80-b6de-816eed58c4eb,1998,Paraguay,Goalkeeper,23.0
87f24025-9958-5183-a8b2-ec9c4e3d909a,1958,Argentina,Defender,21.0
6b8f3d4d-65fa-505f-87e3-624305e0796b,1986,Uruguay,Defender,27.0
e1ba305a-fffa-5069-be1e-47c01370f60e,1970,El Salvador,Forward,24.0
980c0268-6f3e-56bc-97c9-dccbad63578b,2014,Ecuador,Defender,29.0
1a08d94f-295e-575c-87fc-380ce6d97262,1950,Bolivia,Defender,33.0
7ee4cf00-1b6e-52ff-a088-4e34a1201f10,1958,Paraguay,Defender,22.0
4b017f0c-a10f-5426-b597-845b1233d914,2018,Costa Rica,Defender,35.0
4b017f0c-a10f-5426-b597-845b1233d914,2014,Costa Rica,Defender,31.0
45d73c71-df34-5fb5-a151-c7dc2cb79e08,2022,United States,Midfielder,27.0
97f201e1-3406-58d0-951a-0d46f5821c4a,2014,Ghana,Midfielder,22.0
e745c01f-7751-51fa-9baf-8c49cde38a2c,1998,Chile,Midfielder,23.0
072c6054-c568-5fb9-ae7b-fdb3265f5a85,1950,Spain,Goalkeeper,27.0
58fc463f-7063-541e-b077-cbfb82d5aadf,2018,Argentina,Defender,27.0
58fc463f-7063-541e-b077-cbfb82d5aadf,2022,Argentina,Defender,31.0
3dc74b55-bf2d-5b83-8649-121a5dd716c7,2002,Paraguay,Midfielder,30.0
3dc74b55-bf2d-5b83-8649-121a5dd716c7,2006,Paraguay,Midfielder,34.0
3dc74b55-bf2d-5b83-8649-121a5dd716c7,1998,Paraguay,Midfielder,26.0
7f4a388c-e52b-5a37-8460-1a18de40c301,1990,Brazil,Goalkeeper,31.0
530db0fd-6145-5eca-acbb-14f8907ed2df,1982,New Zealand,Defender,23.0
4356cf40-0676-5542-afa3-0ff2c78c762c,1970,Romania,Goalkeeper,29.0
a411f294-e560-5295-b1b9-e21b75e78f06,1970,Czechoslovakia,Forward,28.0
