year,team,opponent_team,result,team_conf,opponent_conf
2018,Croatia,Nigeria,Win,UEFA,CAF
1970,England,Romania,Win,UEFA,UEFA
2014,Italy,Uruguay,Loss,UEFA,CONMEBOL
1958,Paraguay,Yugoslavia,Draw,CONMEBOL,UEFA
1986,France,Soviet Union,Draw,UEFA,UEFA
1970,Mexico,Belgium,Win,CONCACAF,UEFA
1998,Saudi Arabia,Denmark,Loss,AFC,UEFA
1994,Romania,Switzerland,Loss,UEFA,UEFA
1934,Austria,France,Win,UEFA,UEFA
2022,Germany,Japan,Loss,UEFA,AFC
1950,Spain,Chile,Win,UEFA,CONMEBOL
1930,Uruguay,Romania,Win,CONMEBOL,UEFA
1958,Argentina,West Germany,Loss,CONMEBOL,UEFA
2022,Spain,Germany,Draw,UEFA,UEFA
2010,Germany,Australia,Win,UEFA,AFC
1930,Paraguay,Belgium,Win,CONMEBOL,UEFA
1982,Poland,Peru,Win,UEFA,CONMEBOL
1958,Northern Ireland,Czechoslovakia,Win,UEFA,UEFA
2014,South Korea,Algeria,Loss,AFC,CAF
1986,Hungary,Canada,Win,UEFA,CONCACAF
1986,Scotland,Uruguay,Draw,UEFA,CONMEBOL
1970,Sweden,Uruguay,Win,UEFA,CONMEBOL
1998,South Korea,Mexico,Loss,AFC,CONCACAF
2002,Denmark,Senegal,Draw,UEFA,CAF
1950,Brazil,Yugoslavia,Win,CONMEBOL,UEFA
1990,West Germany,Yugoslavia,Win,UEFA,UEFA
2018,Portugal,Spain,Draw,UEFA,UEFA
2022,Argentina,Australia,Win,CONMEBOL,AFC
1930,Uruguay,Argentina,Win,CONMEBOL,CONMEBOL
1994,Russia,Cameroon,Win,UEFA,CAF
1930,United States,Belgium,Win,CONCACAF,UEFA
1954,Uruguay,Czechoslovakia,Win,CONMEBOL,UEFA
2018,Australia,Peru,Loss,AFC,CONMEBOL
2002,Spain,Paraguay,Win,UEFA,CONMEBOL
1982,Spain,Yugoslavia,Win,UEFA,UEFA
1998,Belgium,South Korea,Draw,UEFA,AFC
2022,United States,Wales,Draw,CONCACAF,UEFA
2014,Uruguay,Costa Rica,Loss,CONMEBOL,CONCACAF
1990,Sweden,Costa Rica,Loss,UEFA,CONCACAF
1970,Brazil,Italy,Win,CONMEBOL,UEFA
1994,Germany,Belgium,Win,UEFA,UEFA
1994,Belgium,Netherlands,Win,UEFA,UEFA
1962,Uruguay,Colombia,Win,CONMEBOL,CONMEBOL
1930,Argentina,Mexico,Win,CONMEBOL,CONCACAF
2006,Argentina,Serbia and Montenegro,Win,CONMEBOL,UEFA
1994,Bulgaria,Germany,Win,UEFA,UEFA
1998,Brazil,Chile,Win,CONMEBOL,CONMEBOL
2014,Ecuador,France,Draw,CONMEBOL,UEFA
2010,Slovenia,United States,Draw,UEFA,CONCACAF
1930,Chile,Mexico,Win,CONMEBOL,CONCACAF
2014,Mexico,Cameroon,Win,CONCACAF,CAF
1994,Bulgaria,Greece,Win,UEFA,UEFA
1982,Poland,France,Win,UEFA,UEFA
1994,Switzerland,Colombia,Loss,UEFA,CONMEBOL
1990,West Germany,Colombia,Draw,UEFA,CONMEBOL
2010,Netherlands,Japan,Win,UEFA,AFC
2002,Senegal,Uruguay,Draw,CAF,CONMEBOL
2006,Portugal,Iran,Win,UEFA,AFC
1962,West Germany,Italy,Draw,UEFA,UEFA
1998,Scotland,Norway,Draw,UEFA,UEFA
1990,Italy,Austria,Win,UEFA,UEFA
1934,Czechoslovakia,Romania,Win,UEFA,UEFA
2010,Uruguay,South Korea,Win,CONMEBOL,AFC
1982,Soviet Union,New Zealand,Win,UEFA,OFC
1966,Brazil,Bulgaria,Win,CONMEBOL,UEFA
2002,Germany,Paraguay,Win,UEFA,CONMEBOL
1986,Scotland,Denmark,Loss,UEFA,UEFA
1994,Nigeria,Bulgaria,Win,CAF,UEFA
2014,Colombia,Uruguay,Win,CONMEBOL,CONMEBOL
2006,Germany,Poland,Win,UEFA,UEFA
2022,Qatar,Senegal,Loss,AFC,CAF
2014,Spain,Chile,Loss,UEFA,CONMEBOL
1974,West Germany,Chile,Win,UEFA,CONMEBOL
1994,Argentina,Greece,Win,CONMEBOL,UEFA
2010,Paraguay,Japan,Win,CONMEBOL,AFC
1978,Argentina,Peru,Win,CONMEBOL,CONMEBOL
2006,Ukraine,Tunisia,Win,UEFA,CAF
2022,Ecuador,Senegal,Loss,CONMEBOL,CAF
2018,Denmark,Australia,Draw,UEFA,AFC
1998,Belgium,Mexico,Draw,UEFA,CONCACAF
2014,Nigeria,Bosnia and Herzegovina,Win,CAF,UEFA
2010,Paraguay,Spain,Loss,CONMEBOL,UEFA
2002,England,Brazil,Loss,UEFA,CONMEBOL
1966,Soviet Union,Hungary,Win,UEFA,UEFA
1990,England,Egypt,Win,UEFA,CAF
1994,Bolivia,Spain,Loss,CONMEBOL,UEFA
2014,Nigeria,Argentina,Loss,CAF,CONMEBOL
1998,Romania,Croatia,Loss,UEFA,UEFA
2022,Tunisia,Australia,Loss,CAF,AFC
1986,Northern Ireland,Brazil,Loss,UEFA,CONMEBOL
2022,France,Australia,Win,UEFA,AFC
2002,Mexico,Ecuador,Win,CONCACAF,CONMEBOL
2006,Italy,France,Win,UEFA,UEFA
1934,Germany,Sweden,Win,UEFA,UEFA
1950,United States,England,Win,CONCACAF,UEFA
1978,West Germany,Mexico,Win,UEFA,CONCACAF
2010,New Zealand,Slovakia,Draw,OFC,UEFA
1994,Bulgaria,Italy,Loss,UEFA,UEFA
1990,Italy,England,Win,UEFA,UEFA
1986,Mexico,Paraguay,Draw,CONCACAF,CONMEBOL
1994,Brazil,United States,Win,CONMEBOL,CONCACAF
1982,Italy,Cameroon,Draw,UEFA,CAF
2022,Belgium,Morocco,Loss,UEFA,CAF
1982,West Germany,Algeria,Loss,UEFA,CAF
1998,Morocco,Norway,Draw,CAF,UEFA
1930,Yugoslavia,Bolivia,Win,UEFA,CONMEBOL
1970,Italy,Israel,Draw,UEFA,UEFA
1978,Brazil,Poland,Win,CONMEBOL,UEFA
2018,Tunisia,England,Loss,CAF,UEFA
1982,Italy,West Germany,Win,UEFA,UEFA
1982,England,Kuwait,Win,UEFA,AFC
1982,Austria,France,Loss,UEFA,UEFA
1998,Japan,Jamaica,Loss,AFC,CONCACAF
1954,Austria,Czechoslovakia,Win,UEFA,UEFA
2002,South Africa,Spain,Loss,CAF,UEFA
2022,Belgium,Canada,Win,UEFA,CONCACAF
2022,Poland,Saudi Arabia,Win,UEFA,AFC
1958,Yugoslavia,Scotland,Draw,UEFA,UEFA
1954,Turkey,South Korea,Win,UEFA,AFC
1958,Sweden,Wales,Draw,UEFA,UEFA
1950,Uruguay,Sweden,Win,CONMEBOL,UEFA
1954,France,Mexico,Win,UEFA,CONCACAF
1986,England,Morocco,Draw,UEFA,CAF
1990,Republic of Ireland,Italy,Loss,UEFA,UEFA
2002,Senegal,Turkey,Loss,CAF,UEFA
2014,Argentina,Belgium,Win,CONMEBOL,UEFA
2014,Iran,Nigeria,Draw,AFC,CAF
2022,Senegal,Netherlands,Loss,CAF,UEFA
1994,Sweden,Bulgaria,Win,UEFA,UEFA
2002,Tunisia,Belgium,Draw,CAF,UEFA
2002,Tunisia,Japan,Loss,CAF,AFC
2002,Cameroon,Germany,Loss,CAF,UEFA
1998,Japan,Croatia,Loss,AFC,UEFA
1998,France,Denmark,Win,UEFA,UEFA
1990,Netherlands,Egypt,Draw,UEFA,CAF
1974,Zaire,Scotland,Loss,CAF,UEFA
1958,Soviet Union,Austria,Win,UEFA,UEFA
1966,Soviet Union,Italy,Win,UEFA,UEFA
2010,Serbia,Ghana,Loss,UEFA,CAF
2014,Argentina,Switzerland,Win,CONMEBOL,UEFA
1986,Northern Ireland,Spain,Loss,UEFA,UEFA
2010,Netherlands,Denmark,Win,UEFA,UEFA
1970,Uruguay,Israel,Win,CONMEBOL,UEFA
2018,Germany,Mexico,Loss,UEFA,CONCACAF
1986,Algeria,Spain,Loss,CAF,UEFA
2010,Germany,England,Win,UEFA,UEFA
2014,Belgium,Russia,Win,UEFA,UEFA
1990,Belgium,Uruguay,Win,UEFA,CONMEBOL
1950,Spain,England,Win,UEFA,UEFA
2014,Japan,Colombia,Loss,AFC,CONMEBOL
2006,Netherlands,Argentina,Draw,UEFA,CONMEBOL
1978,Brazil,Peru,Win,CONMEBOL,CONMEBOL
2022,Morocco,Croatia,Draw,CAF,UEFA
1974,Argentina,Italy,Draw,CONMEBOL,UEFA
2018,Argentina,Iceland,Draw,CONMEBOL,UEFA
1986,West Germany,Mexico,Win,UEFA,CONCACAF
2018,Belgium,England,Win,UEFA,UEFA
2014,United States,Germany,Loss,CONCACAF,UEFA
1982,Italy,Argentina,Win,UEFA,CONMEBOL
1934,Switzerland,Netherlands,Win,UEFA,UEFA
2022,England,Senegal,Win,UEFA,CAF
2006,Argentina,Ivory Coast,Win,CONMEBOL,CAF
2010,England,United States,Draw,UEFA,CONCACAF
2010,Netherlands,Brazil,Win,UEFA,CONMEBOL
2010,England,Algeria,Draw,UEFA,CAF
1982,Belgium,Soviet Union,Loss,UEFA,UEFA
1938,Cuba,Romania,Draw,CONCACAF,UEFA
1930,Brazil,Bolivia,Win,CONMEBOL,CONMEBOL
1982,Argentina,Belgium,Loss,CONMEBOL,UEFA
1982,France,Kuwait,Win,UEFA,AFC
2018,Spain,Russia,Loss,UEFA,UEFA
1998,Germany,Mexico,Win,UEFA,CONCACAF
2022,Switzerland,Cameroon,Win,UEFA,CAF
1998,Yugoslavia,Iran,Win,UEFA,AFC
1934,Hungary,Egypt,Win,UEFA,CAF
2014,Colombia,Ivory Coast,Win,CONMEBOL,CAF
1990,Italy,Czechoslovakia,Win,UEFA,UEFA
2010,United States,Algeria,Win,CONCACAF,CAF
1990,Austria,United States,Win,UEFA,CONCACAF
2022,Argentina,Saudi Arabia,Loss,CONMEBOL,AFC
1986,Brazil,Poland,Win,CONMEBOL,UEFA
2006,Italy,Australia,Win,UEFA,AFC
1982,West Germany,France,Win,UEFA,UEFA
1998,Romania,Colombia,Win,UEFA,CONMEBOL
2010,Greece,Argentina,Loss,UEFA,CONMEBOL
1950,Italy,Paraguay,Win,UEFA,CONMEBOL
1986,Denmark,Spain,Loss,UEFA,UEFA
2002,Poland,United States,Win,UEFA,CONCACAF
1994,Mexico,Republic of Ireland,Win,CONCACAF,UEFA
1958,Czechoslovakia,Argentina,Win,UEFA,CONMEBOL
2010,Uruguay,France,Draw,CONMEBOL,UEFA
2018,Brazil,Mexico,Win,CONMEBOL,CONCACAF
1934,Czechoslovakia,Switzerland,Win,UEFA,UEFA
1982,Yugoslavia,Northern Ireland,Draw,UEFA,UEFA
2018,France,Belgium,Win,UEFA,UEFA
1962,Soviet Union,Colombia,Draw,UEFA,CONMEBOL
1954,West Germany,Turkey,Win,UEFA,UEFA
1998,Brazil,France,Loss,CONMEBOL,UEFA
1966,France,Mexico,Draw,UEFA,CONCACAF
1990,Brazil,Argentina,Loss,CONMEBOL,CONMEBOL
2010,Ivory Coast,Portugal,Draw,CAF,UEFA
2014,Netherlands,Costa Rica,Win,UEFA,CONCACAF
1982,Poland,Belgium,Win,UEFA,UEFA
2018,South Korea,Germany,Win,AFC,UEFA
1966,Portugal,Hungary,Win,UEFA,UEFA
2022,Brazil,Switzerland,Win,CONMEBOL,UEFA
2006,Australia,Japan,Win,AFC,AFC
1938,Italy,Brazil,Win,UEFA,CONMEBOL
1954,Hungary,South Korea,Win,UEFA,AFC
1966,Mexico,Uruguay,Draw,CONCACAF,CONMEBOL
2002,Denmark,England,Loss,UEFA,UEFA
1990,South Korea,Uruguay,Loss,AFC,CONMEBOL
1998,Brazil,Norway,Loss,CONMEBOL,UEFA
2010,Algeria,Slovenia,Loss,CAF,UEFA
1966,West Germany,Spain,Win,UEFA,UEFA
2006,Croatia,Australia,Draw,UEFA,AFC
1930,France,Mexico,Win,UEFA,CONCACAF
2010,Brazil,Chile,Win,CONMEBOL,CONMEBOL
1962,Brazil,Czechoslovakia,Draw,CONMEBOL,UEFA
1998,Netherlands,Croatia,Loss,UEFA,UEFA
1986,Brazil,Algeria,Win,CONMEBOL,CAF
1966,Portugal,Bulgaria,Win,UEFA,UEFA
1978,Argentina,Brazil,Draw,CONMEBOL,CONMEBOL
2022,Portugal,Uruguay,Win,UEFA,CONMEBOL
1994,South Korea,Bolivia,Draw,AFC,CONMEBOL
1950,Uruguay,Bolivia,Win,CONMEBOL,CONMEBOL
2018,Sweden,Switzerland,Win,UEFA,UEFA
2002,Spain,South Korea,Loss,UEFA,AFC
1930,Uruguay,Peru,Win,CONMEBOL,CONMEBOL
2010,Ghana,Australia,Draw,CAF,AFC
1966,North Korea,Italy,Win,AFC,UEFA
1994,Mexico,Bulgaria,Loss,CONCACAF,UEFA
2014,Croatia,Mexico,Loss,UEFA,CONCACAF
1994,Netherlands,Brazil,Loss,UEFA,CONMEBOL
2014,Germany,Algeria,Win,UEFA,CAF
1938,Hungary,Dutch East Indies,Win,UEFA,AFC
1974,Brazil,Yugoslavia,Draw,CONMEBOL,UEFA
1954,Switzerland,Italy,Win,UEFA,UEFA
1958,France,Paraguay,Win,UEFA,CONMEBOL
1990,Czechoslovakia,Costa Rica,Win,UEFA,CONCACAF
2014,Colombia,Greece,Win,CONMEBOL,UEFA
1986,Italy,Argentina,Draw,UEFA,CONMEBOL
2022,South Korea,Portugal,Win,AFC,UEFA
1994,Italy,Mexico,Draw,UEFA,CONCACAF
1962,Chile,Switzerland,Win,CONMEBOL,UEFA
2018,Russia,Egypt,Win,UEFA,CAF
1966,Uruguay,France,Win,CONMEBOL,UEFA
1962,West Germany,Switzerland,Win,UEFA,UEFA
1974,Netherlands,Brazil,Win,UEFA,CONMEBOL
1998,Germany,Iran,Win,UEFA,AFC
2002,Ecuador,Croatia,Win,CONMEBOL,UEFA
1970,West Germany,Uruguay,Win,UEFA,CONMEBOL
1986,Spain,Belgium,Loss,UEFA,UEFA
2014,Bosnia and Herzegovina,Iran,Win,UEFA,AFC
1998,Brazil,Netherlands,Win,CONMEBOL,UEFA
1974,Bulgaria,Netherlands,Loss,UEFA,UEFA
2018,Sweden,South Korea,Win,UEFA,AFC
2022,Saudi Arabia,Mexico,Loss,AFC,CONCACAF
2022,Tunisia,France,Win,CAF,UEFA
1934,Italy,Austria,Win,UEFA,UEFA
2018,Poland,Colombia,Loss,UEFA,CONMEBOL
1994,Argentina,Bulgaria,Loss,CONMEBOL,UEFA
1970,Italy,Mexico,Win,UEFA,CONCACAF
1978,Austria,Netherlands,Loss,UEFA,UEFA
2010,Brazil,North Korea,Win,CONMEBOL,AFC
1934,Italy,Czechoslovakia,Win,UEFA,UEFA
2006,Switzerland,Ukraine,Loss,UEFA,UEFA
1938,Hungary,Sweden,Win,UEFA,UEFA
1998,Brazil,Denmark,Win,CONMEBOL,UEFA
1966,England,Portugal,Win,UEFA,UEFA
1990,Argentina,Yugoslavia,Win,CONMEBOL,UEFA
2006,Trinidad and Tobago,Sweden,Draw,CONCACAF,UEFA
2018,Belgium,Tunisia,Win,UEFA,CAF
1966,England,West Germany,Win,UEFA,UEFA
1990,Belgium,Spain,Loss,UEFA,UEFA
1974,Netherlands,West Germany,Loss,UEFA,UEFA
1998,Chile,Cameroon,Draw,CONMEBOL,CAF
2002,Argentina,Nigeria,Win,CONMEBOL,CAF
2002,Cameroon,Saudi Arabia,Win,CAF,AFC
2014,Cameroon,Brazil,Loss,CAF,CONMEBOL
1966,England,France,Win,UEFA,UEFA
1994,United States,Colombia,Win,CONCACAF,CONMEBOL
2006,Netherlands,Ivory Coast,Win,UEFA,CAF
1954,Hungary,West Germany,Win,UEFA,UEFA
1938,Italy,Hungary,Win,UEFA,UEFA
1974,Australia,West Germany,Loss,AFC,UEFA
2006,Italy,Ghana,Win,UEFA,CAF
1966,Argentina,Spain,Win,CONMEBOL,UEFA
1950,Brazil,Switzerland,Draw,CONMEBOL,UEFA
2018,Colombia,Japan,Loss,CONMEBOL,AFC
1934,Italy,Spain,Draw,UEFA,UEFA
1998,Italy,Austria,Win,UEFA,UEFA
1994,United States,Romania,Loss,CONCACAF,UEFA
1970,Soviet Union,Uruguay,Loss,UEFA,CONMEBOL
2022,England,United States,Draw,UEFA,CONCACAF
2002,Uruguay,Denmark,Loss,CONMEBOL,UEFA
1990,Soviet Union,Romania,Loss,UEFA,UEFA
2010,South Africa,Uruguay,Loss,CAF,CONMEBOL
1994,Netherlands,Republic of Ireland,Win,UEFA,UEFA
2006,Saudi Arabia,Spain,Loss,AFC,UEFA
1998,Chile,Austria,Draw,CONMEBOL,UEFA
2014,Honduras,Switzerland,Loss,CONCACAF,UEFA
1994,Romania,Argentina,Win,UEFA,CONMEBOL
2022,Croatia,Brazil,Win,UEFA,CONMEBOL
1950,Uruguay,Spain,Draw,CONMEBOL,UEFA
1950,Switzerland,Mexico,Win,UEFA,CONCACAF
2006,Portugal,Netherlands,Win,UEFA,UEFA
1990,United States,Czechoslovakia,Loss,CONCACAF,UEFA
1970,Uruguay,Italy,Draw,CONMEBOL,UEFA
1990,Cameroon,England,Loss,CAF,UEFA
1966,Hungary,Brazil,Win,UEFA,CONMEBOL
2014,Algeria,Russia,Draw,CAF,UEFA
2022,Ghana,Uruguay,Loss,CAF,CONMEBOL
1958,Soviet Union,England,Draw,UEFA,UEFA
1978,Peru,Scotland,Win,CONMEBOL,UEFA
1974,Poland,Yugoslavia,Win,UEFA,UEFA
1994,Saudi Arabia,Morocco,Win,AFC,CAF
2002,Japan,Turkey,Loss,AFC,UEFA
1954,Austria,Switzerland,Win,UEFA,UEFA
2022,Brazil,Serbia,Win,CONMEBOL,UEFA
1966,England,Argentina,Win,UEFA,CONMEBOL
1962,Czechoslovakia,Spain,Win,UEFA,UEFA
2022,Croatia,Belgium,Draw,UEFA,UEFA
2014,Portugal,Ghana,Win,UEFA,CAF
2002,Germany,United States,Win,UEFA,CONCACAF
1954,West Germany,Austria,Win,UEFA,UEFA
1938,France,Belgium,Win,UEFA,UEFA
1994,Sweden,Brazil,Loss,UEFA,CONMEBOL
1974,Brazil,Poland,Loss,CONMEBOL,UEFA
1958,France,Northern Ireland,Win,UEFA,UEFA
1986,Soviet Union,Belgium,Loss,UEFA,UEFA
1978,Brazil,Austria,Win,CONMEBOL,UEFA
1974,Poland,West Germany,Loss,UEFA,UEFA
1998,Netherlands,Belgium,Draw,UEFA,UEFA
1966,Hungary,Bulgaria,Win,UEFA,UEFA
2018,Uruguay,Saudi Arabia,Win,CONMEBOL,AFC
1986,Mexico,Bulgaria,Win,CONCACAF,UEFA
1978,Italy,France,Win,UEFA,UEFA
1966,Argentina,West Germany,Draw,CONMEBOL,UEFA
2022,Brazil,South Korea,Win,CONMEBOL,AFC
1950,Brazil,Sweden,Win,CONMEBOL,UEFA
1958,Brazil,Soviet Union,Win,CONMEBOL,UEFA
2018,Senegal,Colombia,Loss,CAF,CONMEBOL
1998,South Africa,Saudi Arabia,Draw,CAF,AFC
1986,Hungary,France,Loss,UEFA,UEFA
2018,Peru,Denmark,Loss,CONMEBOL,UEFA
2006,Czech Republic,Italy,Loss,UEFA,UEFA
1970,Brazil,Romania,Win,CONMEBOL,UEFA
2022,Netherlands,United States,Win,UEFA,CONCACAF
1998,Argentina,Jamaica,Win,CONMEBOL,CONCACAF
1958,England,Austria,Draw,UEFA,UEFA
1998,Argentina,Japan,Win,CONMEBOL,AFC
1998,Colombia,England,Loss,CONMEBOL,UEFA
2022,Japan,Costa Rica,Loss,AFC,CONCACAF
2018,Uruguay,Portugal,Win,CONMEBOL,UEFA
1982,Chile,Austria,Loss,CONMEBOL,UEFA
2002,Portugal,Poland,Win,UEFA,UEFA
2010,Netherlands,Slovakia,Win,UEFA,UEFA
1982,Belgium,Hungary,Draw,UEFA,UEFA
1938,Brazil,Czechoslovakia,Draw,CONMEBOL,UEFA
2010,Ghana,Germany,Loss,CAF,UEFA
1990,Brazil,Sweden,Win,CONMEBOL,UEFA
2022,Croatia,Canada,Win,UEFA,CONCACAF
2014,Japan,Greece,Draw,AFC,UEFA
1998,Netherlands,South Korea,Win,UEFA,AFC
1958,Sweden,Soviet Union,Win,UEFA,UEFA
1974,Netherlands,Sweden,Draw,UEFA,UEFA
2010,Slovenia,England,Loss,UEFA,UEFA
1958,Sweden,West Germany,Win,UEFA,UEFA
1970,Mexico,El Salvador,Win,CONCACAF,CONCACAF
1962,Hungary,England,Win,UEFA,UEFA
1978,Austria,West Germany,Win,UEFA,UEFA
2002,Sweden,Nigeria,Win,UEFA,CAF
2006,Mexico,Angola,Draw,CONCACAF,CAF
1954,Switzerland,Italy,Win,UEFA,UEFA
1970,Belgium,El Salvador,Win,UEFA,CONCACAF
1998,Italy,Norway,Win,UEFA,UEFA
1998,France,Croatia,Win,UEFA,UEFA
1958,Hungary,Mexico,Win,UEFA,CONCACAF
2006,Germany,Costa Rica,Win,UEFA,CONCACAF
2006,Sweden,England,Draw,UEFA,UEFA
2022,Spain,Costa Rica,Win,UEFA,CONCACAF
2006,Argentina,Mexico,Win,CONMEBOL,CONCACAF
2014,Brazil,Mexico,Draw,CONMEBOL,CONCACAF
2010,Greece,Nigeria,Win,UEFA,CAF
1998,Romania,Tunisia,Draw,UEFA,CAF
1938,Switzerland,Germany,Draw,UEFA,UEFA
2022,Costa Rica,Germany,Loss,CONCACAF,UEFA
1970,West Germany,England,Win,UEFA,UEFA
1982,Peru,Cameroon,Draw,CONMEBOL,CAF
1974,Uruguay,Netherlands,Loss,CONMEBOL,UEFA
2002,Germany,Republic of Ireland,Draw,UEFA,UEFA
2010,Japan,Cameroon,Win,AFC,CAF
1954,Hungary,Brazil,Win,UEFA,CONMEBOL
2002,Costa Rica,Turkey,Draw,CONCACAF,UEFA
2010,South Korea,Greece,Win,AFC,UEFA
1962,Soviet Union,Yugoslavia,Win,UEFA,UEFA
1970,Brazil,Uruguay,Win,CONMEBOL,CONMEBOL
1950,Spain,United States,Win,UEFA,CONCACAF
2022,Croatia,Morocco,Win,UEFA,CAF
2014,Honduras,Ecuador,Loss,CONCACAF,CONMEBOL
1998,Italy,Cameroon,Win,UEFA,CAF
1930,Romania,Peru,Win,UEFA,CONMEBOL
1974,Zaire,Brazil,Loss,CAF,CONMEBOL
1934,Germany,Austria,Win,UEFA,UEFA
2018,France,Australia,Win,UEFA,AFC
2022,Cameroon,Serbia,Draw,CAF,UEFA
2002,South Korea,United States,Draw,AFC,CONCACAF
1986,Argentina,Uruguay,Win,CONMEBOL,CONMEBOL
1954,Brazil,Mexico,Win,CONMEBOL,CONCACAF
1962,Czechoslovakia,Yugoslavia,Win,UEFA,UEFA
1974,West Germany,Sweden,Win,UEFA,UEFA
1998,Spain,Nigeria,Loss,UEFA,CAF
2002,Nigeria,England,Draw,CAF,UEFA
1954,Austria,Uruguay,Win,UEFA,CONMEBOL
1994,Colombia,Romania,Loss,CONMEBOL,UEFA
1950,Yugoslavia,Switzerland,Win,UEFA,UEFA
1982,Algeria,Austria,Loss,CAF,UEFA
2014,Australia,Netherlands,Loss,AFC,UEFA
1966,West Germany,Soviet Union,Win,UEFA,UEFA
1974,Scotland,Yugoslavia,Draw,UEFA,UEFA
1986,Brazil,France,Loss,CONMEBOL,UEFA
2010,Australia,Serbia,Win,AFC,UEFA
2022,Canada,Morocco,Loss,CONCACAF,CAF
2018,Spain,Morocco,Draw,UEFA,CAF
2014,Brazil,Colombia,Win,CONMEBOL,CONMEBOL
1990,Uruguay,Spain,Draw,CONMEBOL,UEFA
2002,South Korea,Turkey,Loss,AFC,UEFA
2022,Argentina,Mexico,Win,CONMEBOL,CONCACAF
2006,Spain,Tunisia,Win,UEFA,CAF
2014,Germany,Portugal,Win,UEFA,UEFA
1974,East Germany,Australia,Win,UEFA,AFC
1966,Argentina,Switzerland,Win,CONMEBOL,UEFA
1970,Soviet Union,Belgium,Win,UEFA,UEFA
1962,Brazil,Chile,Win,CONMEBOL,CONMEBOL
2002,Costa Rica,Brazil,Loss,CONCACAF,CONMEBOL
1970,West Germany,Bulgaria,Win,UEFA,UEFA
1978,West Germany,Poland,Draw,UEFA,UEFA
1978,Austria,Sweden,Win,UEFA,UEFA
2002,Belgium,Russia,Win,UEFA,UEFA
2014,Spain,Netherlands,Loss,UEFA,UEFA
1970,Brazil,Peru,Win,CONMEBOL,CONMEBOL
2006,Poland,Ecuador,Loss,UEFA,CONMEBOL
1954,West Germany,Hungary,Win,UEFA,UEFA
2022,England,France,Loss,UEFA,UEFA
1982,Austria,Northern Ireland,Draw,UEFA,UEFA
1998,Italy,France,Loss,UEFA,UEFA
1938,Italy,Norway,Win,UEFA,UEFA
2006,France,Switzerland,Draw,UEFA,UEFA
1986,England,Poland,Win,UEFA,UEFA
2010,Paraguay,New Zealand,Draw,CONMEBOL,OFC
2002,Germany,South Korea,Win,UEFA,AFC
1974,Argentina,East Germany,Draw,CONMEBOL,UEFA
1982,Czechoslovakia,Kuwait,Draw,UEFA,AFC
2014,Argentina,Bosnia and Herzegovina,Win,CONMEBOL,UEFA
1990,Argentina,Romania,Draw,CONMEBOL,UEFA
2002,France,Uruguay,Draw,UEFA,CONMEBOL
1938,Sweden,Cuba,Win,UEFA,CONCACAF
2006,Italy,Ukraine,Win,UEFA,UEFA
1966,England,Mexico,Win,UEFA,CONCACAF
2018,France,Argentina,Win,UEFA,CONMEBOL
1934,Italy,Spain,Win,UEFA,UEFA
1986,France,West Germany,Loss,UEFA,UEFA
2010,Cameroon,Netherlands,Loss,CAF,UEFA
1990,Belgium,South Korea,Win,UEFA,AFC
1994,Spain,Switzerland,Win,UEFA,UEFA
1930,Argentina,United States,Win,CONMEBOL,CONCACAF
1962,Czechoslovakia,Hungary,Win,UEFA,UEFA
1994,Morocco,Netherlands,Loss,CAF,UEFA
2002,South Africa,Slovenia,Win,CAF,UEFA
1982,Brazil,Scotland,Win,CONMEBOL,UEFA
2018,Uruguay,Russia,Win,CONMEBOL,UEFA
1998,Nigeria,Denmark,Loss,CAF,UEFA
2002,Japan,Belgium,Draw,AFC,UEFA
1962,Yugoslavia,Colombia,Win,UEFA,CONMEBOL
2022,France,Poland,Win,UEFA,UEFA
1994,Romania,Sweden,Loss,UEFA,UEFA
1970,England,Czechoslovakia,Win,UEFA,UEFA
2010,Spain,Switzerland,Loss,UEFA,UEFA
1958,Wales,Hungary,Win,UEFA,UEFA
2022,Portugal,Ghana,Win,UEFA,CAF
2002,Spain,Slovenia,Win,UEFA,UEFA
2010,Germany,Serbia,Loss,UEFA,UEFA
1966,Portugal,Soviet Union,Win,UEFA,UEFA
1994,Sweden,Russia,Win,UEFA,UEFA
2010,Italy,Paraguay,Draw,UEFA,CONMEBOL
2002,South Korea,Poland,Win,AFC,UEFA
1994,Spain,South Korea,Draw,UEFA,AFC
2022,Qatar,Ecuador,Loss,AFC,CONMEBOL
1974,Argentina,Haiti,Win,CONMEBOL,CONCACAF
2006,Germany,Italy,Loss,UEFA,UEFA
2002,Brazil,Turkey,Win,CONMEBOL,UEFA
1986,Morocco,West Germany,Loss,CAF,UEFA
2018,Poland,Senegal,Loss,UEFA,CAF
1950,Chile,United States,Win,CONMEBOL,CONCACAF
1950,Brazil,Spain,Win,CONMEBOL,UEFA
1954,Brazil,Yugoslavia,Draw,CONMEBOL,UEFA
2014,Cameroon,Croatia,Loss,CAF,UEFA
2014,Brazil,Netherlands,Loss,CONMEBOL,UEFA
1958,West Germany,Northern Ireland,Draw,UEFA,UEFA
2018,Costa Rica,Serbia,Loss,CONCACAF,UEFA
2006,Costa Rica,Poland,Loss,CONCACAF,UEFA
2006,Spain,Ukraine,Win,UEFA,UEFA
1994,Italy,Norway,Win,UEFA,UEFA
2010,Spain,Honduras,Win,UEFA,CONCACAF
2010,Chile,Switzerland,Win,CONMEBOL,UEFA
